ID,Date,Link,Charge,Start count,Quantity,Service,Status,Remains
27837512,2025-11-0307:39:13,https://youtu.be/jp_NgnljpfY,0.0087,2409,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27837399,2025-11-0307:19:12,https://youtu.be/jp_NgnljpfY,0.0087,2389,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27837244,2025-11-0306:59:11,https://youtu.be/jp_NgnljpfY,0.0087,2365,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27837142,2025-11-0306:39:11,https://youtu.be/jp_NgnljpfY,0.0087,2342,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27837051,2025-11-0306:19:11,https://youtu.be/jp_NgnljpfY,0.0087,2317,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27836917,2025-11-0305:59:10,https://youtu.be/jp_NgnljpfY,0.0087,2292,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27836748,2025-11-0305:39:08,https://youtu.be/jp_NgnljpfY,0.0087,2264,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27836570,2025-11-0305:18:18,https://youtu.be/jp_NgnljpfY,0.0087,2242,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27836349,2025-11-0304:58:17,https://youtu.be/jp_NgnljpfY,0.0087,2218,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27836229,2025-11-0304:38:15,https://youtu.be/jp_NgnljpfY,0.0087,2193,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27836102,2025-11-0304:18:12,https://youtu.be/jp_NgnljpfY,0.0087,2164,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27835944,2025-11-0303:58:11,https://youtu.be/jp_NgnljpfY,0.0087,2134,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27835817,2025-11-0303:38:10,https://youtu.be/jp_NgnljpfY,0.0087,2107,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27835616,2025-11-0303:18:10,https://youtu.be/jp_NgnljpfY,0.0087,2084,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27835322,2025-11-0302:58:10,https://youtu.be/jp_NgnljpfY,0.0087,2057,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27835125,2025-11-0302:38:07,https://youtu.be/jp_NgnljpfY,0.0087,2013,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27834852,2025-11-0302:18:06,https://youtu.be/jp_NgnljpfY,0.0087,1985,20,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
